Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
1,AAR HOTD,452.9375,nfm,none,2,unlocked,off
2,AAR EOTD,457.9375,nfm,none,2,unlocked,off
3,Amtk Keystone,160.6350,nfm,none,2,unlocked,off
4,DL East of Pocno,161.1750,nfm,none,2,unlocked,off
5,DL West of Pocno,161.4600,nfm,none,2,unlocked,off
6,DL Yard,160.2450,fm,none,2,unlocked,off
7,NS Sunbury Line,161.4750,nfm,none,2,unlocked,off
8,NS DH Yard,160.5900,nfm,none,2,unlocked,off
9,NS Pitt Line,160.8000,nfm,none,2,unlocked,off
10,NS MOW,161.4300,nfm,none,2,unlocked,off
11,RBMN Reading S,160.4700,nfm,none,2,unlocked,off
12,RBMN Reading N-L,160.7700,nfm,none,2,unlocked,off
13,RBMN Lehigh,160.8000,nfm,none,2,unlocked,off
14,RBMN Yard,161.3100,nfm,none,2,unlocked,off
15,Strasburg RR,161.2350,fm,none,2,unlocked,off
16,,000.0000,auto,none,2,locked,off
17,,000.0000,auto,none,2,locked,off
18,,000.0000,auto,none,2,locked,off
19,,000.0000,auto,none,2,locked,off
20,,000.0000,auto,none,2,locked,off
21,,000.0000,auto,none,2,locked,off
22,,000.0000,auto,none,2,locked,off
23,,000.0000,auto,none,2,locked,off
24,,000.0000,auto,none,2,locked,off
25,,000.0000,auto,none,2,locked,off
26,,000.0000,auto,none,2,locked,off
27,,000.0000,auto,none,2,locked,off
28,,000.0000,auto,none,2,locked,off
29,,000.0000,auto,none,2,locked,off
30,,000.0000,auto,none,2,locked,off
31,,000.0000,auto,none,2,locked,off
32,,000.0000,auto,none,2,locked,off
33,,000.0000,auto,none,2,locked,off
34,,000.0000,auto,none,2,locked,off
35,,000.0000,auto,none,2,locked,off
36,,000.0000,auto,none,2,locked,off
37,,000.0000,auto,none,2,locked,off
38,,000.0000,auto,none,2,locked,off
39,,000.0000,auto,none,2,locked,off
40,,000.0000,auto,none,2,locked,off
41,,000.0000,auto,none,2,locked,off
42,,000.0000,auto,none,2,locked,off
43,,000.0000,auto,none,2,locked,off
44,,000.0000,auto,none,2,locked,off
45,,000.0000,auto,none,2,locked,off
46,,000.0000,auto,none,2,locked,off
47,,000.0000,auto,none,2,locked,off
48,,000.0000,auto,none,2,locked,off
49,,000.0000,auto,none,2,locked,off
50,,000.0000,auto,none,2,locked,on
51,PGC NE Reg 5,044.6400,fm,none,2,unlocked,off
52,PGC NC Reg 3,044.6800,fm,none,2,unlocked,off
53,PAFishBoat PD 1,045.0400,fm,none,2,unlocked,off
54,PAFishBoat PD 2,044.9600,fm,none,2,unlocked,off
55,LackCo PD 1,154.8750,nfm,none,2,unlocked,off
56,LackCo PD 2,154.8150,nfm,none,2,unlocked,off
57,LackCo PD 3,155.7900,nfm,none,2,unlocked,off
58,LackCo Detec,153.9950,fm,none,2,unlocked,off
59,LackSheriff1,151.4900,fm,none,2,unlocked,off
60,LackSheriff3,151.0250,fm,none,2,unlocked,off
61,LackPRCTrans,453.2500,fm,none,2,unlocked,off
62,Archbald PD,155.5500,fm,none,2,unlocked,off
63,Clark Smt PD,155.7150,fm,none,2,unlocked,off
64,Dunmore PD,159.0900,fm,none,2,unlocked,off
65,Dunmore PD6,154.8300,fm,none,2,unlocked,off
66,Jessup PD,154.1150,fm,none,2,unlocked,off
67,Moosic PD,153.8150,fm,none,2,unlocked,off
68,Moscow PD,154.9800,fm,none,2,unlocked,off
69,Newton PD,158.7750,fm,none,2,unlocked,off
70,Scranton PD Disp,453.3750,nfm,none,2,unlocked,off
71,Scranton PD Tac,453.7000,nfm,none,2,unlocked,off
72,S Abngtn PD,156.1200,fm,none,2,unlocked,off
73,Lz PD Zone-A W,158.7300,nfm,none,2,unlocked,off
74,Lz PD Zone-B CE,151.2650,nfm,none,2,unlocked,off
75,Lz PD Zone-C CW,151.3700,nfm,none,2,unlocked,off
76,Lz PD Zone-D E,155.0700,nfm,none,2,unlocked,off
77,Lz PD Zone-E S,155.9250,nfm,none,2,unlocked,off
